timeFrom; TimeTo; HeatDemand;  ElectricityPrice; GB; OB; EB; GM;
02-12-2023 09:00;02-12-2023 10:00;6.71;1004.78;0;0;6.71;0;
02-12-2023 10:00;02-12-2023 11:00;6.59;1002.18;0;0;6.59;0;
02-12-2023 11:00;02-12-2023 12:00;6.41;900.34;0;0;6.41;0;
02-12-2023 12:00;02-12-2023 13:00;6.28;790.61;0;0;6.28;0;
02-12-2023 13:00;02-12-2023 14:00;6.26;756.88;0;0;6.26;0;
02-12-2023 14:00;02-12-2023 15:00;6.53;740.73;0;0;6.53;0;
02-12-2023 15:00;02-12-2023 16:00;6.48;733.80;0;0;6.48;0;
02-12-2023 16:00;02-12-2023 17:00;6.45;877.86;0;0;6.45;0;
02-12-2023 17:00;02-12-2023 18:00;6.14;1123.45;0;0;6.14;0;
02-12-2023 18:00;02-12-2023 19:00;6.30;1247.03;5;1.30;0;0;
02-12-2023 19:00;02-12-2023 20:00;6.17;1002.63;0;0;6.17;0;
02-12-2023 20:00;02-12-2023 21:00;6.10;1002.33;0;0;6.1;0;
02-12-2023 21:00;02-12-2023 22:00;6.09;797.16;0;0;6.09;0;
02-12-2023 22:00;02-12-2023 23:00;6.09;767.38;0;0;6.09;0;
02-12-2023 23:00;2/13/2023 0:00;6.03;734.85;0;0;6.03;0;
2/13/2023 0:00;2/13/2023 1:00;6.08;773.11;0;0;6.08;0;
2/13/2023 1:00;2/13/2023 2:00;6.18;753.01;0;0;6.18;0;
2/13/2023 2:00;2/13/2023 3:00;6.26;751.67;0;0;6.26;0;
2/13/2023 3:00;2/13/2023 4:00;6.39;766.93;0;0;6.39;0;
2/13/2023 4:00;2/13/2023 5:00;6.96;773.33;0;0;6.96;0;
2/13/2023 5:00;2/13/2023 6:00;7.09;818.15;0;0;7.09;0;
2/13/2023 6:00;2/13/2023 7:00;7.34;1170.72;5;2.34;0;0;
2/13/2023 7:00;2/13/2023 8:00;6.84;1459.72;5;1.84;0;0;
2/13/2023 8:00;2/13/2023 9:00;6.94;1505.28;5;1.94;0;0;
2/13/2023 9:00;2/13/2023 10:00;6.86;1460.61;5;1.86;0;0;
2/13/2023 10:00;2/13/2023 11:00;6.73;1290.50;5;1.73;0;0;
2/13/2023 11:00;2/13/2023 12:00;6.46;1049.67;0;0;6.46;0;
2/13/2023 12:00;2/13/2023 13:00;6.21;916.42;0;0;6.21;0;
2/13/2023 13:00;2/13/2023 14:00;6.26;893.34;0;0;6.26;0;
2/13/2023 14:00;2/13/2023 15:00;6.34;893.34;0;0;6.34;0;
2/13/2023 15:00;2/13/2023 16:00;6.66;900.78;0;0;6.66;0;
2/13/2023 16:00;2/13/2023 17:00;6.71;1118.39;0;0;6.71;0;
2/13/2023 17:00;2/13/2023 18:00;6.81;1400.01;5;1.81;0;0;
2/13/2023 18:00;2/13/2023 19:00;6.47;1651.19;5;1.47;0;0;
2/13/2023 19:00;2/13/2023 20:00;6.26;1538.03;5;1.26;0;0;
2/13/2023 20:00;2/13/2023 21:00;6.20;1398.52;5;1.20;0;0;
2/13/2023 21:00;2/13/2023 22:00;6.22;1257.52;5;1.22;0;0;
2/13/2023 22:00;2/13/2023 23:00;6.15;1198.34;5;1.15;0;0;
2/13/2023 23:00;2/14/2023 0:00;6.19;1117.57;0;0;6.19;0;
2/14/2023 0:00;2/14/2023 1:00;6.15;1010.17;0;0;6.15;0;
2/14/2023 1:00;2/14/2023 2:00;6.33;985.59;0;0;6.33;0;
2/14/2023 2:00;2/14/2023 3:00;6.32;984.39;0;0;6.32;0;
2/14/2023 3:00;2/14/2023 4:00;6.38;984.10;0;0;6.38;0;
2/14/2023 4:00;2/14/2023 5:00;7.02;985.59;0;0;7.02;0;
2/14/2023 5:00;2/14/2023 6:00;7.21;1057.17;0;0;7.21;0;
2/14/2023 6:00;2/14/2023 7:00;7.40;1238.09;5;2.40;0;0;
2/14/2023 7:00;2/14/2023 8:00;6.92;1489.63;5;1.92;0;0;
2/14/2023 8:00;2/14/2023 9:00;7.06;1541.69;5;2.06;0;0;
2/14/2023 9:00;2/14/2023 10:00;7.02;1345.20;5;2.02;0;0;
2/14/2023 10:00;2/14/2023 11:00;7.12;1029.83;0;0;7.12;0;
2/14/2023 11:00;2/14/2023 12:00;7.08;1036.53;0;0;7.08;0;
2/14/2023 12:00;2/14/2023 13:00;7.08;970.99;0;0;7.08;0;
2/14/2023 13:00;2/14/2023 14:00;7.00;934.12;0;0;7;0;
2/14/2023 14:00;2/14/2023 15:00;6.64;945.44;0;0;6.64;0;
2/14/2023 15:00;2/14/2023 16:00;7.09;985.59;0;0;7.09;0;
2/14/2023 16:00;2/14/2023 17:00;7.07;1137.39;0;0;7.07;0;
2/14/2023 17:00;2/14/2023 18:00;7.03;1346.76;5;2.03;0;0;
2/14/2023 18:00;2/14/2023 19:00;6.53;1489.63;5;1.53;0;0;
2/14/2023 19:00;2/14/2023 20:00;6.38;1437.34;5;1.38;0;0;
2/14/2023 20:00;2/14/2023 21:00;6.51;1309.52;5;1.51;0;0;
2/14/2023 21:00;2/14/2023 22:00;6.34;1192.43;5;1.34;0;0;
2/14/2023 22:00;2/14/2023 23:00;6.41;1124.95;0;0;6.41;0;
2/14/2023 23:00;2/15/2023 0:00;6.35;1055.68;0;0;6.35;0;
